case,n_days,sigma,hr
Worst case,2,149.8280880399724,2820.1752965163823
Best case,2,31.13454316203425,586.0374422616053
Worst case,3,3684.059738800355,69344.10231200111
Best case,3,24.241662932435865,456.29454291837
Worst case,4,1646.660393482474,30994.662110433444
Best case,4,40.38892425477046,760.2302607358024
Worst case,5,1845.8367118224294,34743.706364963116
Best case,5,72.83959463333824,1371.0408247244263
Worst case,6,1513.0285779406572,28479.345056403345
Best case,6,84.75896827004834,1595.396107635268
Worst case,7,1382.671725316823,26025.671781180845
Best case,7,102.84906705061543,1935.9013517446742
Worst case,8,1481.3464939073608,27883.00139413208
Best case,8,102.54807622756314,1930.2358794373474
Worst case,9,1275.2155110899507,24003.05129136355
Best case,9,89.33848307652865,1681.5951287682158
Worst case,11,1110.5310305886007,20903.237967271518
Best case,11,90.86334699443545,1710.2972473635132
Worst case,12,1001.1961194866772,18845.255252747407
Best case,12,84.03179441914519,1581.7087025737908
Worst case,14,953.5813739390807,17949.01522926516
Best case,14,78.48910820911654,1477.380155568008
Worst case,16,1104.067582589043,20781.578159573724
Best case,16,76.53088142845287,1440.520960045663
Worst case,18,1094.440376157199,20600.367746301235
Best case,18,88.06467239048156,1657.618520134792
Worst case,21,933.381043168833,17568.789634952605
Best case,21,85.68656959754333,1612.8561071790066
Worst case,24,1019.0190071078633,19180.730850410022
Best case,24,87.25023873103525,1642.288646296923
Worst case,28,929.7420882375576,17500.294528750746
Best case,28,87.37696909052208,1644.6740590310696
Worst case,32,1044.10811809562,19652.97668858926
Best case,32,82.85615550472744,1559.579955771791
Worst case,37,1039.2797191475552,19562.092985718904
Best case,37,84.75886731008073,1595.3942072919456
Worst case,42,1035.8527183125375,19497.58743657595
Best case,42,93.59102418659154,1761.639608697908
Worst case,49,948.5567006752559,17854.437105783236
Best case,49,91.6579835493961,1725.2544854309913
Worst case,56,925.9477811890988,17428.875269882497
Best case,56,96.26255931275689,1811.9252224646489
Worst case,64,930.0095794700111,17505.329446940446
Best case,64,90.24787014629405,1698.7122860561042
Worst case,74,919.3164418337441,17304.05528667749
Best case,74,95.84680320029025,1804.0995528382614
Worst case,84,888.7731988308223,16729.14773416733
Best case,84,99.87432178036318,1879.908491965564
Worst case,97,872.4397281614938,16421.707046038642
Best case,97,106.58458974752268,2006.2141279884952
Worst case,111,908.1910520533302,17094.64495625621
Best case,111,106.20653451419264,1999.0980922457734
Worst case,128,1002.8527878132098,18876.438291589646
Best case,128,105.60008073378332,1987.6829698053598
Worst case,147,988.0356334647297,18597.5388328506
Best case,147,105.1841389228461,1979.8538048247558
Worst case,169,990.6065128065017,18645.929828857006
Best case,169,108.71760361712802,2046.3632956170838
Worst case,194,921.0144231755672,17336.015949706692
Best case,194,108.02753255434263,2033.3742667269269
Worst case,223,877.8048452704837,16522.693255845003
Best case,223,103.88261279398294,1955.355515589354
Worst case,256,919.5022216352767,17307.552171765776
Best case,256,100.74723185636594,1896.3390522472014
Worst case,294,941.1410262163066,17714.85378606179
Best case,294,102.2421944928315,1924.4783467661996
Worst case,338,951.7501990217428,17914.547498060456
Best case,338,101.08853743350802,1902.7633587294583
Worst case,388,931.1260712257375,17526.34488209319
Best case,388,100.80697549471235,1897.4635912785184
Worst case,446,901.4702565820293,16968.14116374939
Best case,446,102.1810575383127,1923.327581705431
Worst case,512,853.4756959077274,16064.75197850722
Best case,512,103.52548107380103,1948.6333177155432
Worst case,588,847.6670903324219,15955.418100160501
Best case,588,104.36650008505937,1964.4636007451086
Worst case,676,861.2607620354155,16211.288261938902
Best case,676,104.04730047771739,1958.4553892070728
Worst case,776,848.5639182186436,15972.298859189306
Best case,776,104.88344178043252,1974.1938603920296
Worst case,891,821.6403008865215,15465.522583217247
Best case,891,102.52327480256945,1929.7690486381252
